id,name,description,tagline,website,phone,address_street,address_city,address_zip,latitude,longitude,ava_primary,ava_secondary,nearest_town,production_size,annual_cases,winery_scale,tasting_room_vibe,ownership_type
jordan-winery,Jordan Vineyard & Winery,Iconic French-inspired estate known for elegant Cabernet and Chardonnay. All visits include food pairings prepared by their culinary team. One of Sonoma's most celebrated luxury experiences.,"Cabernet, Chardonnay, and Hospitality",https://www.jordanwinery.com,(707) 431-5250,1474 Alexander Valley Road,Healdsburg,95448,38.6614,-122.8456,alexander-valley,,Healdsburg,medium,100000,grand,elegant,family-owned
dry-creek-vineyard,Dry Creek Vineyard,"Pioneer of Dry Creek Valley, first winery after Prohibition in 1972. Famous for Zinfandel and Sauvignon Blanc. Features bocce courts, picnic grounds, and classic California charm.",No Compromises,https://www.drycreekvineyard.com,(707) 433-1000,3770 Lambert Bridge Road,Healdsburg,95448,38.684699999999999,-122.9425,dry-creek-valley,,Healdsburg,medium,75000,established,rustic,family-owned
gloria-ferrer,Gloria Ferrer Caves & Vineyards,"First sparkling wine house in Carneros, founded 1986. Spanish heritage meets California terroir. Stunning terrace views and méthode champenoise sparkling wines.","Don't Count the Days, Make the Days Count",https://www.gloriaferrer.com,(707) 996-7256,23555 Carneros Highway,Sonoma,95476,38.236899999999999,-122.3847,carneros,,Sonoma,large,150000,grand,elegant,corporate
scribe-winery,Scribe Winery,MEMBERS ONLY. Historic hacienda setting with natural wines. Must join allocation list for visits. Garden snacks included with tastings.,"Vibrant, Terroir-Driven Wines",https://www.scribewinery.com,(707) 939-1858,2100 Denmark Street,Sonoma,95476,38.284700000000001,-122.4156,sonoma-valley,,Sonoma,small,15000,boutique,modern,family-owned
nalle-winery,Nalle Winery,"Hidden gem specializing in elegant, lighter-style Zinfandel. Family-owned since 1984, often poured by the Nalle family themselves. Wine Spectator Top 100.",One of the Best Zinfandel Makers in California,https://www.nallewinery.com,(707) 433-1040,2383 Dry Creek Road,Healdsburg,95448,38.658900000000003,-122.9367,dry-creek-valley,,Healdsburg,boutique,3000,intimate,rustic,family-owned
iron-horse-vineyards,Iron Horse Vineyards,Premier sparkling wine estate in Green Valley. Served at White House state dinners. Outdoor tastings with stunning vineyard views. The Oyster Girls visit weekends.,Joy in Every Bottle,https://www.ironhorsevineyards.com,(707) 887-1507,9786 Ross Station Road,Sebastopol,95472,38.424700000000001,-122.8789,green-valley,russian-river-valley,Sebastopol,small,25000,established,rustic,family-owned
martinelli-winery,Martinelli Winery & Vineyards,Family farming since 1880s. Historic hop barn tasting room. Famous Jackass Hill old-vine Zinfandel from impossibly steep slopes.,Six Generations of Family Farming,https://www.martinelliwinery.com,(707) 525-0570,3360 River Road,Windsor,95492,38.5167,-122.8456,russian-river-valley,,Windsor,small,15000,established,historic,family-owned
deloach-vineyards,DeLoach Vineyards,"Pioneering biodynamic winery since 1975. Beautiful gardens, chickens, and oak-shaded picnic areas. Franco-American tasting compares Sonoma and French wines.",Biodynamic Pioneers,https://www.deloachvineyards.com,(707) 526-9111,1791 Olivet Road,Santa Rosa,95401,38.4589,-122.82340000000001,russian-river-valley,,Santa Rosa,medium,50000,established,rustic,corporate
unti-vineyards,Unti Vineyards,"Beloved for Italian and Rhône varieties. Casual Airstream tasting bar, bring-your-own-picnic vibe. Organic farming, traditional methods, serious wines without pretense.",Wine with a Sense of Place,https://www.untivineyards.com,(707) 433-5590,4202 Dry Creek Road,Healdsburg,95448,38.697800000000001,-122.9456,dry-creek-valley,,Healdsburg,boutique,5000,intimate,casual,family-owned
benziger-family-winery,Benziger Family Winery,Pioneering biodynamic winery with famous tram tour through vineyards. Great for families with peacocks roaming the property. Educational and engaging.,Farming for Flavor,https://www.benziger.com,(888) 490-2739,1883 London Ranch Road,Glen Ellen,95442,38.354199999999999,-122.51560000000001,sonoma-mountain,sonoma-valley,Glen Ellen,medium,50000,established,rustic,family-owned
