id,reservation_required,reservation_url,walk_in_likelihood,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,tasting_duration_typical,last_seating_offset
jordan-winery,required,https://jordanwinery.com/visit,low,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,,,120,90
dry-creek-vineyard,recommended,https://drycreekvineyard.com/visit,medium,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,60,60
gloria-ferrer,recommended,https://gloriaferrer.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
scribe-winery,members-only,https://scribewinery.com,low,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,90,60
nalle-winery,recommended,https://nallewinery.com/visit,high,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,45,30
iron-horse-vineyards,required,https://ironhorsevineyards.com/visit,low,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
martinelli-winery,recommended,https://martinelliwinery.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
deloach-vineyards,walk-in-friendly,https://deloachvineyards.com/visit,high,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
unti-vineyards,recommended,https://untivineyards.com/visit,medium,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,45,30
benziger-family-winery,recommended,https://benziger.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,90,60
flowers-winery,required,https://flowerswinery.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
seghesio-family-vineyards,recommended,https://seghesio.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
halleck-vineyard,required,https://halleckvineyard.com/visit,low,,,,,,,,,11:00,15:00,11:00,15:00,11:00,15:00,90,60
pedroncelli-winery,walk-in-friendly,https://pedroncelli.com/visit,high,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,45,30
arista-winery,required,https://aristawinery.com/visit,low,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,75,60
landmark-hop-kiln,recommended,https://landmarkwine.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
