id,rating_google,rating_yelp,rating_tripadvisor,review_count_total,quality_score,popularity_score,hidden_gem,must_visit,local_favorite,unique_selling_point,awards,good_for_mix_intimate,good_for_mix_grand
jordan-winery,4.8,4.5,5,2500,9,9,FALSE,TRUE,FALSE,French-inspired estate with all food-paired experiences and stunning hilltop views,Wine & Spirits #1 Restaurant List multiple years,FALSE,TRUE
dry-creek-vineyard,4.7,4.5,4.5,1800,8,8,FALSE,TRUE,FALSE,First Dry Creek winery post-Prohibition with iconic sailboat label and bocce courts,USA Today Top 10 Tasting Room,FALSE,TRUE
gloria-ferrer,4.5999999999999996,4,4.5,3000,8,9,FALSE,TRUE,FALSE,First sparkling wine house in Carneros with stunning terrace views,Multiple sparkling wine awards,FALSE,TRUE
scribe-winery,4.7,4.5,4.5,1500,9,8,FALSE,TRUE,TRUE,Instagram-famous hacienda with natural wines and farm-to-glass philosophy,James Beard nominated,TRUE,FALSE
nalle-winery,4.9000000000000004,4.5,4.5,400,9,5,TRUE,FALSE,TRUE,Hidden gem with elegant Zin often poured by the family,Wine Spectator Top 100,TRUE,FALSE
iron-horse-vineyards,4.7,4.5,4.5,1200,9,7,FALSE,TRUE,TRUE,"Served at White House state dinners, outdoor-only with Oyster Girls weekends",White House official sparkling,TRUE,FALSE
martinelli-winery,4.7,4.5,4.5,900,9,7,FALSE,TRUE,TRUE,Six generations farming including impossibly steep Jackass Hill,Multiple 90+ scores,TRUE,FALSE
deloach-vineyards,4.5999999999999996,4,4.5,1500,8,7,FALSE,FALSE,FALSE,Pioneering biodynamic farming with gardens and chickens,Wine & Spirits Winery of Year 10x,FALSE,TRUE
unti-vineyards,4.9000000000000004,4.5,4.5,600,9,5,TRUE,FALSE,TRUE,Beloved for Italian/Rhône wines with casual Airstream tasting bar,Critics' darling for Rhône varieties,TRUE,FALSE
benziger-family-winery,4.5999999999999996,4,4.5,2000,8,8,FALSE,TRUE,FALSE,Only biodynamic tram tour in Sonoma - great for families,Certified Biodynamic,FALSE,TRUE
flowers-winery,4.8,4.5,4.5,800,9,7,FALSE,FALSE,FALSE,Stunning modern architecture with exceptional coastal Pinot Noir,Multiple 95+ scores,FALSE,TRUE
seghesio-family-vineyards,4.7,4,4.5,1600,8,8,FALSE,TRUE,FALSE,Five generations of Italian heritage with downtown bocce courts,Old Vine Zin icon,FALSE,TRUE
halleck-vineyard,4.9000000000000004,5,5,300,10,4,TRUE,FALSE,TRUE,"Best Pinot in America three years running, 16-guest max intimate experience",Best Pinot in America 3x,TRUE,FALSE
pedroncelli-winery,4.7,4,4.5,800,7,6,FALSE,FALSE,TRUE,"Best values in Dry Creek, family-owned since 1927",Survived Prohibition,TRUE,FALSE
arista-winery,4.8,4.5,4.5,700,9,6,TRUE,FALSE,FALSE,Stunning Japanese garden setting with meticulous attention to detail,Consistently 90+ Pinots,TRUE,FALSE
landmark-hop-kiln,4.5999999999999996,4,4.5,1200,7,7,FALSE,FALSE,FALSE,California Historical Landmark in a photogenic hop kiln building,Historic landmark status,FALSE,TRUE
wilson-winery,4.8,4.5,4.5,500,8,5,TRUE,FALSE,TRUE,Century-old tin barn with valley views and big Zinfandels,Multiple 90+ Zinfandels,TRUE,FALSE
buena-vista-winery,4.5,4,4.5,2500,7,8,FALSE,TRUE,FALSE,California's first premium winery with theatrical Count tours,California Historic Landmark,FALSE,TRUE
