id,style_classic,style_luxury,style_family_friendly,style_social,style_sustainable,style_adventure,vibe,noise_level,best_for,not_ideal_for
jordan-winery,5,5,2,2,4,3,"elegant, refined",quiet,"Special occasions, couples, wine enthusiasts","Budget travelers, families with young kids"
dry-creek-vineyard,5,2,4,3,4,2,"rustic, casual",moderate,"Families, Zinfandel lovers, picnickers",Those seeking ultra-luxury
gloria-ferrer,4,4,3,4,4,3,"elegant, lively",moderate,"Sparkling wine fans, groups, special occasions",Those avoiding crowds
scribe-winery,3,4,3,3,5,2,"modern, stylish",moderate,"Design lovers, foodies, Instagram enthusiasts",Traditional wine purists
nalle-winery,4,2,2,2,3,1,"rustic, intimate",quiet,"Serious Zin collectors, those wanting personal touch","Large groups, those wanting grand estates"
iron-horse-vineyards,4,3,3,4,4,3,"rustic, elegant",moderate,"Sparkling lovers, outdoor enthusiasts, oyster fans",Those wanting indoor-only options
martinelli-winery,5,3,3,3,3,2,"historic, rustic",moderate,"History buffs, Zinfandel collectors",Those seeking modern facilities
deloach-vineyards,4,2,4,3,5,3,"rustic, natural",quiet,"Sustainability enthusiasts, families, picnickers",Luxury seekers
unti-vineyards,3,2,4,4,5,2,"casual, funky",moderate,"Italian wine fans, casual visitors, picnickers",Formality seekers
benziger-family-winery,4,2,5,3,5,4,"rustic, educational",moderate,"Families with kids, eco-tourists, curious visitors",Those seeking quick tastings
flowers-winery,4,5,2,2,4,2,"modern, sleek",quiet,"Pinot lovers, architecture fans, serious wine enthusiasts","Budget travelers, families"
seghesio-family-vineyards,4,3,4,4,3,2,"modern, lively",moderate,"Italian wine fans, groups, bocce players",Those seeking quiet intimacy
halleck-vineyard,4,5,3,2,4,3,"elegant, intimate",quiet,"Serious Pinot collectors, dog owners, small groups","Large parties, walk-ins"
pedroncelli-winery,5,1,4,3,3,1,"casual, unpretentious",quiet,"Budget-conscious, families, first-timers","Luxury seekers, those wanting fancy"
arista-winery,4,4,2,2,4,2,"elegant, zen",quiet,"Pinot collectors, garden lovers, couples","Large groups, party atmosphere"
landmark-hop-kiln,5,2,4,3,3,2,"historic, casual",moderate,"History buffs, picnickers, photographers",Ultra-modern seekers
wilson-winery,4,2,3,3,3,2,"rustic, friendly",moderate,"Zinfandel fans, view seekers, casual visitors",Luxury seekers
buena-vista-winery,5,3,4,4,3,3,"historic, theatrical",moderate,"History lovers, sparkling fans, tour groups",Those avoiding tourist spots
ridge-lytton-springs,4,3,2,2,4,2,"modern, serious",quiet,"Serious wine collectors, Zinfandel aficionados","Casual visitors, those wanting food"
gary-farrell-winery,4,4,2,2,4,3,"elegant, modern",quiet,"Pinot enthusiasts, view seekers, couples","Budget travelers, large groups"
ferrari-carano,5,4,3,3,4,2,"elegant, Italian",moderate,"Garden lovers, Italian wine fans, special occasions",Budget travelers
chalk-hill-estate,4,5,2,2,4,3,"elegant, exclusive",quiet,"Serious Chardonnay fans, special occasions","Casual visitors, families"
sebastiani,5,2,4,3,3,2,"historic, casual",moderate,"History buffs, downtown Sonoma visitors",Ultra-luxury seekers
chateau-st-jean,5,4,4,3,3,2,"historic, elegant",moderate,"Garden lovers, photographers, picnickers",Quick tasters
